y_true,y_pred,y_score
0,0,0.0
0,0,0.0
0,0,0.034280936454849496
0,0,0.0
0,0,0.0
1,1,0.9896338867603234
0,0,0.0
0,0,0.1
0,0,0.0
0,0,0.0
0,0,0.24166666666666664
0,0,0.0
0,0,0.0
1,1,0.9565324815708841
0,0,0.0
1,1,0.9774358974358975
1,1,0.9739130434782609
0,0,0.0
1,1,0.7945945945945946
1,1,0.9
0,0,0.0
0,0,0.0
1,1,0.8913580246913579
0,0,0.0
1,1,1.0
0,0,0.0
1,1,1.0
1,1,1.0
1,1,0.9990384615384615
0,0,0.0
1,1,1.0
1,1,0.90114182326826
1,1,0.9
0,0,0.0
0,0,0.0
0,0,0.028846153846153844
1,1,0.9
0,0,0.0
1,1,0.9866666666666667
1,1,1.0
0,0,0.25
1,1,0.9199294532627865
1,1,0.9893231593662627
0,0,0.0
1,1,0.9990384615384615
1,1,0.9990384615384615
1,1,0.9
1,1,0.9870101986044014
1,1,0.9990384615384615
0,0,0.0
0,0,0.0
0,0,0.1
1,1,0.8362077213267689
1,1,0.9741379310344828
1,1,0.8607142857142858
1,1,0.8893231593662627
0,1,0.9947901049475263
1,1,0.9990384615384615
1,1,0.9991379310344828
1,1,0.9965738284703802
0,0,0.0
0,0,0.0
1,1,0.8
0,1,0.9892857142857142
1,1,1.0
0,0,0.20833333333333334
1,1,0.9777777777777779
0,0,0.2
0,0,0.0
1,1,0.6952380952380952
1,1,0.9744975262832405
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,0.9990384615384615
1,1,1.0
0,0,0.1
1,1,0.823707721326769
1,1,0.7450222176412653
1,1,0.9955731593662627
1,1,1.0
0,0,0.0
0,0,0.1
0,0,0.0
0,0,0.19166666666666665
0,0,0.10384615384615385
0,1,0.894411269449672
1,1,0.8896338867603235
0,0,0.0
0,1,0.9965738284703802
1,1,1.0
1,1,0.9990384615384615
0,0,0.18666666666666668
1,1,0.9991379310344828
0,0,0.0
1,1,0.9990384615384615
1,1,0.9932555780933063
0,0,0.0
1,1,0.9741379310344828
0,0,0.0
1,1,0.8166131267321743
1,1,0.907349696635411
1,1,1.0
1,1,0.5166131267321743
0,0,0.0
0,0,0.0
1,1,1.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,0.9991379310344828
1,1,0.7384204860395337
0,0,0.0
1,1,0.6884204860395337
1,1,0.8
1,1,0.9666666666666666
0,0,0.0
0,0,0.0
1,1,0.9990384615384615
0,0,0.0
1,1,1.0
1,1,1.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.1
1,1,1.0
1,1,0.9991379310344828
0,0,0.0
0,0,0.0
1,1,0.9990384615384615
1,1,1.0
0,0,0.1
0,0,0.0
1,1,0.9657051282051283
1,1,0.8666666666666668
0,0,0.14166666666666666
1,1,0.9649425287356321
1,1,0.9
1,1,0.9
1,1,0.9615865092055568
1,1,0.9990384615384615
0,0,0.18666666666666668
1,1,0.9990384615384615
1,1,1.0
0,0,0.24166666666666664
0,0,0.10833333333333332
1,1,0.9
1,1,0.7990384615384615
1,1,0.9990384615384615
1,1,0.9490865092055568
1,1,1.0
1,1,0.9649425287356321
0,0,0.0
0,0,0.0
0,0,0.0038461538461538464
0,0,0.0
1,1,0.9903964862298194
1,1,0.8413580246913579
1,1,0.9908045977011494
1,1,0.9741379310344828
1,1,0.9913580246913579
0,0,0.0
1,1,0.9965738284703802
0,0,0.0
0,0,0.0
1,1,1.0
0,0,0.3038461538461538
1,1,0.7399956001146477
1,1,0.9083333333333332
0,0,0.0
0,0,0.0038461538461538464
1,1,0.6666666666666666
1,1,0.9750615763546797
0,0,0.1
0,0,0.0
0,0,0.0
1,1,0.8
0,0,0.0
1,1,0.9741379310344828
1,1,0.95
0,0,0.1
1,1,0.6610575711766188
0,0,0.0
0,0,0.0
1,1,0.6384204860395337
0,0,0.06666666666666667
0,0,0.0
1,1,1.0
1,1,0.9990384615384615
1,1,0.9774358974358975
1,1,0.9990384615384615
1,1,1.0
1,1,0.9
0,0,0.18666666666666668
1,1,0.9990384615384615
1,1,0.9
0,0,0.0
0,0,0.0
1,1,0.9789196010460378
1,1,1.0
0,0,0.0
1,1,1.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.008333333333333333
0,0,0.0
1,1,0.7443909045099522
1,1,0.9083333333333332
1,1,0.8913580246913579
1,1,0.8705731593662627
0,0,0.025
0,0,0.0
1,1,0.9955731593662627
1,1,0.9
0,0,0.0
1,1,0.9847527472527473
1,1,1.0
0,0,0.1
0,0,0.1
0,0,0.1
1,1,0.9407142857142856
1,1,0.9769157088122606
0,0,0.4
0,0,0.0
0,0,0.0
0,0,0.0
1,0,0.5
0,0,0.0
1,1,0.7806437389770723
1,1,1.0
1,1,0.6886553219886553
0,0,0.0
0,0,0.18666666666666668
1,1,0.9990384615384615
0,0,0.0
1,1,0.9991379310344828
0,0,0.0
1,1,0.8
1,1,0.8657051282051282
1,1,0.8800000000000001
0,0,0.0
1,1,0.878919601046038
1,1,0.9931561085972851
0,0,0.0
0,0,0.0
0,0,0.0
1,1,0.9991379310344828
1,1,0.9990384615384615
1,1,0.9990384615384615
0,0,0.14166666666666666
0,0,0.0
1,1,0.9598522167487683
1,1,0.9896338867603234
0,0,0.06666666666666667
0,0,0.0
1,1,1.0
1,1,0.8739130434782609
0,0,0.0
1,1,0.9991379310344828
1,1,0.9304347826086957
1,1,1.0
0,0,0.0
1,1,0.7226564926995961
1,1,0.8737077213267689
1,1,0.7865865092055568
0,0,0.0
0,0,0.0
1,1,0.9396338867603233
0,0,0.0
1,1,0.9732758620689654
0,0,0.0
0,0,0.1
0,0,0.11111111111111112
1,1,1.0
0,0,0.0
0,0,0.0
1,1,0.7711436187626663
0,0,0.40384615384615385
0,0,0.0
1,1,0.9304347826086957
1,0,0.4
1,1,0.9990384615384615
0,0,0.1
0,0,0.1
1,1,0.9
0,0,0.0
0,0,0.0
1,1,0.9991379310344828
1,1,1.0
1,1,0.9622398260329292
1,1,0.8893231593662627
0,0,0.0
0,0,0.0
0,0,0.0
1,1,0.9737077213267689
1,1,0.7666666666666666
1,1,0.7941176470588236
0,0,0.0
0,0,0.0
0,0,0.0
1,1,0.9990384615384615
0,0,0.025
1,1,0.9991379310344828
0,0,0.10833333333333332
1,1,0.894411269449672
1,1,0.9402242378432856
0,0,0.0
1,1,0.964102564102564
1,1,0.7739130434782608
0,0,0.1
1,1,0.9788580246913581
1,1,0.8111111111111111
0,1,0.9769157088122606
1,1,0.9666131267321744
0,0,0.0
0,0,0.0
0,0,0.1
1,1,0.9990384615384615
0,0,0.0
1,1,0.9974358974358974
0,0,0.0
1,1,1.0
0,0,0.2
1,1,0.9965738284703802
0,0,0.0
0,0,0.1
1,1,1.0
0,0,0.1
0,0,0.4
1,1,0.9990384615384615
1,1,1.0
0,0,0.0
0,0,0.13333333333333333
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,0.9598522167487683
1,1,0.85
0,0,0.0
0,0,0.3405797101449275
0,0,0.0
0,0,0.0
1,1,0.9965738284703802
1,1,1.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,0.9741379310344828
1,1,0.9847527472527473
1,1,0.7666666666666666
1,1,0.9613664596273293
0,0,0.0
0,0,0.0
1,1,0.85
1,1,1.0
1,1,0.8866666666666667
0,0,0.0
1,1,1.0
0,0,0.0
1,1,0.9991379310344828
1,1,1.0
0,0,0.0
1,1,0.8708333333333333
0,0,0.0
1,1,0.9565324815708841
1,1,0.7297132518396887
1,1,0.8
0,0,0.29166666666666663
0,0,0.0
1,1,0.9611850537316377
1,1,0.7591836734693878
1,1,1.0
0,0,0.1
0,0,0.0
0,0,0.0
0,0,0.03333333333333333
0,0,0.0
0,0,0.0
0,0,0.1
1,1,1.0
1,1,0.9990384615384615
0,0,0.0
0,0,0.0
0,0,0.0
1,1,0.7791131267321744
1,1,1.0
1,1,0.9990384615384615
1,1,0.9
1,1,0.9893231593662627
1,1,1.0
0,0,0.0
0,0,0.0
1,1,0.7384204860395337
0,0,0.0
